,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_stim_n_subj.910114803,-0.000552686,0.007529854,-0.012465275,-0.005705386,-0.001734379,0.003311101,0.018069782,0.000401693
v_stim_n_subj.911960296,-0.001931232,0.007767297,-0.015453614,-0.006434067,-0.00278534,0.002014806,0.01560893,0.000327439
v_stim_n_subj.923162466,-0.001614698,0.00780722,-0.014744121,-0.00631345,-0.002600574,0.002281199,0.01547374,0.000345577
v_stim_n_subj.931420970,-0.002383546,0.00714702,-0.015685823,-0.006575112,-0.003188038,0.00148579,0.013233653,0.000300173
v_stim_n_subj.933260573,-0.002161748,0.007581495,-0.017103705,-0.006529699,-0.002851484,0.001902485,0.014983183,0.000313699
v_stim_n_subj.945098209,-0.002019796,0.007606223,-0.016295847,-0.006476118,-0.002770746,0.001959959,0.015221156,0.000316583
v_stim_n_subj.949645864,-0.002313815,0.00753163,-0.016785235,-0.006548205,-0.003056249,0.001651294,0.014060812,0.000323261
v_stim_n_subj.949879914,-0.002566195,0.007839092,-0.018344511,-0.00664496,-0.003158643,0.001633696,0.013685933,0.000315042
v_stim_n_subj.956660069,-0.00163137,0.00781335,-0.01519299,-0.006295296,-0.002665441,0.002335904,0.016190671,0.000350862
v_stim_n_subj.961875421,-0.00194791,0.00762911,-0.015440127,-0.006499264,-0.002926673,0.002021484,0.015640745,0.000328197
v_stim_n_subj.964326783,-0.001597179,0.007447956,-0.013982028,-0.006290199,-0.002483869,0.002419667,0.015255364,0.000344212
v_stim_n_subj.968634301,-0.002873503,0.007756547,-0.018976162,-0.006758096,-0.003474829,0.001286732,0.012627859,0.000310788
v_stim_n_subj.971172922,-0.002189104,0.007679273,-0.016807438,-0.006559058,-0.002987151,0.001731741,0.015185982,0.000318005
v_stim_n_subj.977170877,-0.002966053,0.00671316,-0.016288736,-0.006818727,-0.003562286,0.000822929,0.010936345,0.000284471
v_stim_n_subj.979660929,-0.003003639,0.007180217,-0.017199143,-0.00685514,-0.003677318,0.001030321,0.012174986,0.000302681
v_stim_n_subj.984661157,-0.002421039,0.007594306,-0.016621538,-0.006614408,-0.003174743,0.001559547,0.01403451,0.000314511
v_stim_n_subj.985750851,-0.002279953,0.006908972,-0.015859865,-0.006390183,-0.002975921,0.001675938,0.012539323,0.000309691
v_stim_weight,-0.000787696,0.0011191,-0.002950421,-0.001535196,-0.000805234,-4.23E-05,0.001439049,2.97E-05
v_stim_weight_std,0.006565183,0.001411754,0.003700739,0.005617938,0.006597865,0.007544242,0.009276571,7.61E-05
