,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.433311086,4.284817676,0.303670182,3.731460962,4.072169388,4.268035635,4.483436797,4.918242145,0.003542486
a_subj.446421117,0.757143688,0.044227743,0.677360883,0.726749904,0.754798049,0.78545729,0.849790805,0.000567021
a_subj.449943813,3.542266911,0.223940468,3.124157914,3.387336101,3.532076532,3.689083717,4.007799972,0.002889531
a_subj.452249694,4.102962106,0.306763399,3.564783508,3.888780514,4.083856152,4.291623309,4.768558857,0.00394737
a_subj.455194813,2.224175788,0.187986745,1.862787389,2.090419842,2.229667588,2.358942152,2.580709098,0.008277401
a_subj.455717130,4.03312863,0.251245251,3.561163935,3.861581922,4.023855509,4.198470885,4.540506697,0.002911373
a_subj.492518259,2.533776445,0.166435902,2.230669413,2.417522785,2.524399387,2.642375666,2.876864518,0.002120529
a_subj.502901314,5.117995342,0.330211088,4.504198422,4.892051777,5.104659534,5.331928103,5.803329518,0.003685078
a_subj.504663288,4.852684929,0.343525752,4.229525377,4.615982549,4.834387164,5.072300793,5.580769905,0.003998805
a_subj.507157861,1.686940525,0.123843812,1.437878011,1.607571948,1.686485535,1.769306921,1.92693464,0.002796655
a_subj.507740391,3.299049705,0.221737081,2.892797778,3.148310435,3.286725457,3.440477569,3.757843627,0.00232386
a_subj.514268702,1.214402347,0.08730151,1.064969576,1.152613996,1.20805623,1.269461238,1.402312706,0.001432613
a_subj.522579064,5.796402109,0.518382404,4.885132783,5.438646293,5.761008828,6.114051619,6.932077923,0.006820792
a_subj.534449063,3.730555097,0.259901409,3.242588033,3.55149422,3.724148234,3.900795241,4.258168252,0.002945925
a_subj.539422517,13.48037166,2.574375982,8.449337485,11.69879293,13.59705282,15.26401826,18.39707222,0.094617464
a_subj.546064836,1.764670516,0.158624848,1.449525074,1.660656017,1.77035845,1.87361803,2.069379282,0.002900236
a_subj.561564728,3.968196276,0.266908239,3.479356428,3.780591062,3.957879173,4.141635888,4.521685099,0.003525289
a_subj.563121476,0.996624875,0.069750772,0.866229186,0.950117773,0.994052218,1.040810876,1.14171021,0.000962554
a_subj.578711405,0.98565407,0.05600174,0.883303341,0.946745976,0.982361346,1.021405018,1.103855052,0.000661143
a_subj.584470675,4.498317072,0.341117933,3.84937781,4.271067533,4.486898832,4.711779393,5.203553937,0.00594065
a_subj.586071473,4.861763298,0.371705611,4.166173452,4.605454102,4.843688028,5.104914498,5.62519884,0.006158212
a_subj.589703985,0.107669898,0.324453383,2.04E-08,2.26E-08,2.39E-08,2.56E-08,1.155249707,0.032142019
a_subj.605713945,0.785984185,0.0530741,0.688774497,0.748998011,0.783598626,0.820791769,0.895936761,0.000619049
a_subj.626227255,3.903891097,0.298534861,3.338209567,3.700166041,3.893498908,4.096064909,4.516138288,0.003746032
a_subj.628308431,2.754450828,0.171336355,2.440687013,2.63483064,2.745543949,2.86485099,3.109980726,0.001868571
a_subj.630235377,1.723951963,0.103210738,1.533370179,1.653398479,1.720366585,1.78978681,1.938658208,0.001201203
a_subj.642346147,0.57687849,0.044495954,0.505034639,0.545169566,0.571443186,0.602153504,0.680821096,0.000744238
a_subj.650974545,1.806721614,0.125339205,1.578861671,1.719440939,1.801425053,1.888053084,2.072079979,0.001695201
a_subj.652231699,2.512239727,0.159195844,2.220953184,2.403221282,2.507552615,2.61352984,2.838993,0.001672723
a_subj.657894484,2.453456487,0.151987466,2.174691481,2.346008847,2.447472714,2.55124009,2.772975364,0.001813137
