,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_Intercept_subj.584470675,-0.088057611,0.061138748,-0.205522266,-0.127911181,-0.088352349,-0.049058689,0.022936379,0.00091545
v_Intercept_subj.586071473,-0.043194382,0.058294141,-0.15979117,-0.081114295,-0.042662018,-0.004057672,0.069728856,0.000828127
v_Intercept_subj.589703985,0.017738554,0.098338377,-0.17159579,-0.048449096,0.017224117,0.081170806,0.220821411,0.001425041
v_Intercept_subj.605713945,-0.000344032,0.105281331,-0.211555424,-0.070961722,0.000124336,0.070772088,0.207552258,0.001692509
v_Intercept_subj.626227255,0.013429333,0.064203483,-0.110436343,-0.030402501,0.012427129,0.05720765,0.13737521,0.000892544
v_Intercept_subj.628308431,-0.016693963,0.074003253,-0.159397978,-0.066498485,-0.016144792,0.03228131,0.128599541,0.001309021
v_Intercept_subj.630235377,0.034624675,0.087286086,-0.137860243,-0.023194821,0.034705409,0.094230317,0.206728424,0.001255787
v_Intercept_subj.642346147,0.019257433,0.107394187,-0.191223062,-0.049680061,0.018393418,0.088470255,0.230025558,0.001768346
v_Intercept_subj.650974545,-0.019989067,0.088763167,-0.197725866,-0.079701281,-0.02003255,0.039395828,0.156933646,0.001542335
v_Intercept_subj.652231699,-0.092824015,0.076408718,-0.245960577,-0.142944526,-0.093385548,-0.041701702,0.05505009,0.001015428
v_Intercept_subj.657894484,-0.167143112,0.088262704,-0.347517308,-0.223940963,-0.165968166,-0.106152254,-0.004968121,0.001909647
v_Intercept_subj.664438269,-0.063473992,0.058498112,-0.178794555,-0.10254374,-0.063782633,-0.024376672,0.05302662,0.000910879
v_Intercept_subj.673728725,-0.033226504,0.055086703,-0.143270657,-0.069778738,-0.032127009,0.003440886,0.073737976,0.000803174
v_Intercept_subj.683861923,-0.013331184,0.085803529,-0.184262909,-0.068620188,-0.015447521,0.043356446,0.16020262,0.001197642
v_Intercept_subj.696039965,0.022953265,0.057891796,-0.089239584,-0.016874274,0.022572306,0.061744823,0.13677611,0.000913552
v_Intercept_subj.716236442,0.039817896,0.059485665,-0.074500713,-0.000626396,0.038634092,0.079894448,0.160135419,0.000815261
v_Intercept_subj.717256200,0.108467954,0.055496512,0.001309731,0.070168055,0.107726413,0.145365323,0.220075482,0.000842803
v_Intercept_subj.718176674,0.016472623,0.088038197,-0.161583294,-0.042109979,0.016308791,0.076376365,0.187594585,0.001497532
v_Intercept_subj.720435955,0.005862538,0.062966218,-0.116394259,-0.038198307,0.006688642,0.04801095,0.129899624,0.000960632
v_Intercept_subj.733093513,0.069593816,0.076498696,-0.081096366,0.019657471,0.068232281,0.12086118,0.222922747,0.001261254
v_Intercept_subj.749079099,0.097654008,0.095500028,-0.084683803,0.03241577,0.09641391,0.159582457,0.293722234,0.002125895
v_Intercept_subj.755075290,0.040413826,0.105440672,-0.163663179,-0.029549484,0.038462935,0.107763418,0.257266272,0.00174936
v_Intercept_subj.770588123,-0.048592153,0.073129984,-0.198361432,-0.096087068,-0.049135516,-0.000147088,0.091133382,0.001049106
v_Intercept_subj.778697233,-0.068411088,0.086269997,-0.24386129,-0.125749159,-0.066756857,-0.009176982,0.094197315,0.001457349
v_Intercept_subj.779970594,0.222947392,0.106445988,0.024888554,0.149440088,0.218761413,0.292278346,0.442676824,0.002744602
v_Intercept_subj.789515489,-0.09765821,0.05490302,-0.207279622,-0.133802154,-0.096740886,-0.060588681,0.007313953,0.000911449
v_Intercept_subj.796639530,0.007472515,0.087167595,-0.167930384,-0.050778262,0.008111635,0.065633334,0.177913746,0.001279579
v_Intercept_subj.815555952,0.009165857,0.052573549,-0.092581228,-0.026962496,0.008594474,0.045007985,0.111517904,0.000800902
v_Intercept_subj.828632181,-0.028575509,0.101899823,-0.226678866,-0.095300176,-0.027820777,0.038132178,0.16912805,0.001586048
v_Intercept_subj.840480197,-0.012219306,0.105758544,-0.223199386,-0.079145594,-0.011374812,0.054991145,0.195586942,0.001370826
v_Intercept_subj.846755060,0.072701091,0.062031672,-0.050283737,0.03084236,0.072302592,0.114507159,0.196778756,0.001033309
v_Intercept_subj.860810996,-0.039559663,0.066356936,-0.170932074,-0.084088864,-0.03974401,0.004921492,0.092526276,0.001142142
v_Intercept_subj.874342939,-0.005995349,0.066680658,-0.135888712,-0.050387265,-0.005200597,0.038441644,0.128119145,0.000956058
v_Intercept_subj.885985637,-0.027152357,0.103122085,-0.230245433,-0.095473772,-0.026660478,0.041399785,0.175660395,0.001457561
v_Intercept_subj.889540573,-0.049337411,0.102497688,-0.255596043,-0.116524711,-0.049618874,0.017722942,0.147978005,0.001514678
v_Intercept_subj.891299842,-0.034857234,0.056910984,-0.143925591,-0.074208238,-0.035118624,0.003174098,0.078833074,0.000808098
v_Intercept_subj.894143700,-0.101571,0.0625941,-0.229852071,-0.143913528,-0.100828536,-0.059555872,0.019249292,0.001002866
v_Intercept_subj.904039471,-0.006348611,0.10251969,-0.211020381,-0.073142406,-0.004579486,0.061627226,0.197118686,0.001671797
v_Intercept_subj.909861321,0.021248139,0.066042513,-0.107326507,-0.022066833,0.021252055,0.06466291,0.15113334,0.000975438
v_Intercept_subj.910114803,-0.039091246,0.055720048,-0.149560991,-0.076567646,-0.039070522,-0.002292528,0.072341573,0.000756563
v_Intercept_subj.911960296,0.011997617,0.096495791,-0.172915726,-0.051877854,0.011798613,0.075115345,0.206272105,0.001651977
v_Intercept_subj.923162466,-0.149684544,0.096100471,-0.348169106,-0.210720911,-0.14808122,-0.085200939,0.031609856,0.002116886
v_Intercept_subj.931420970,0.000734834,0.066003869,-0.125318381,-0.044696755,0.000457517,0.046382568,0.131069398,0.001032897
v_Intercept_subj.933260573,0.298455782,0.105443338,0.103315532,0.224791403,0.293934823,0.367250625,0.512093765,0.003938085
v_Intercept_subj.945098209,0.050815675,0.093574488,-0.12996221,-0.011171141,0.049459792,0.11143626,0.239236875,0.001445312
v_Intercept_subj.949645864,0.001972082,0.099497621,-0.196366376,-0.06421457,0.002129897,0.068658511,0.194980941,0.001499628
v_Intercept_subj.949879914,0.017336681,0.092681639,-0.165564388,-0.044754455,0.016721794,0.081028085,0.194797898,0.001447734
v_Intercept_subj.956660069,0.015788437,0.094587994,-0.165093924,-0.048476132,0.015216805,0.078201088,0.203667924,0.001453723
v_Intercept_subj.961875421,0.010661645,0.071328355,-0.129464839,-0.038106698,0.010023216,0.059494292,0.148286196,0.001018393
v_Intercept_subj.964326783,-0.0041949,0.059827959,-0.122820981,-0.044156358,-0.004958032,0.036901895,0.110077171,0.000922321
v_Intercept_subj.968634301,-0.05486672,0.087098143,-0.224026849,-0.113788927,-0.054520976,0.004628226,0.11195642,0.001294245
v_Intercept_subj.971172922,-0.01423406,0.105857079,-0.223001702,-0.083567136,-0.01503243,0.056175843,0.194115428,0.001620187
v_Intercept_subj.977170877,-0.02447418,0.059557762,-0.14323338,-0.0639537,-0.024388829,0.015695138,0.091748118,0.000919411
v_Intercept_subj.979660929,-0.030566974,0.062984667,-0.154863193,-0.072197276,-0.03077679,0.012027504,0.09332281,0.000905015
v_Intercept_subj.984661157,-0.000318151,0.095353122,-0.18884588,-0.064642072,-0.000159871,0.063280024,0.18832147,0.00155606
v_Intercept_subj.985750851,-0.026920093,0.058897905,-0.140684929,-0.064153713,-0.026762028,0.010198372,0.084942419,0.000970042
v_stim_n,0.000661055,0.00346088,-0.005875016,-0.001786997,0.000567541,0.003086961,0.007272223,0.00024116
v_stim_n_std,0.007020117,0.004129516,0.000579608,0.003977297,0.00630607,0.009584672,0.016227537,0.000346654
v_stim_n_subj.2884955,-0.000635884,0.009057935,-0.021162491,-0.005103248,0.000122341,0.004857694,0.015619365,0.000317486
v_stim_n_subj.3964964,0.001390288,0.008754364,-0.016281538,-0.003305623,0.001427529,0.005966389,0.01903714,0.000252032
v_stim_n_subj.12919430,0.000210437,0.008070591,-0.016776381,-0.00430502,0.000600385,0.005036189,0.016169891,0.000262806
v_stim_n_subj.34984274,0.001307064,0.00848008,-0.016429564,-0.003332485,0.001582904,0.005887352,0.019556342,0.000247808
v_stim_n_subj.41833230,6.53E-05,0.008712609,-0.018514739,-0.004605462,0.000460235,0.005109247,0.017100339,0.000276735
